accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.8720858693122864,0.9433428645133972,0.6869945526123047,0.8781869411468506,0.8847032189369202,0.9479166865348816,0.9932451844215393,0.4915580153465271,0.976190447807312,0.92580646276474,7.000000096013537e-06
0.9092024564743042,0.9666635990142822,0.6041089296340942,0.9150513410568237,0.9160959124565125,0.9548611044883728,0.9929965734481812,0.4822898507118225,0.9733333587646484,0.9419354796409607,7.000000096013537e-06
0.920552134513855,0.9765066504478455,0.5590401291847229,0.9327536225318909,0.918379008769989,0.9583333134651184,0.9934452772140503,0.46923863887786865,0.9766666889190674,0.9451612830162048,7.000000096013537e-06
0.9236196279525757,0.9760803580284119,0.5527209043502808,0.9286936521530151,0.9292237162590027,0.9635416865348816,0.9941244721412659,0.45745986700057983,0.9737704992294312,0.9580644965171814,7.000000096013537e-06
0.9266871213912964,0.9801099896430969,0.5313274264335632,0.9360230565071106,0.9269406199455261,0.9722222089767456,0.9950339198112488,0.4439008831977844,0.9867549538612366,0.9612902998924255,7.000000096013537e-06
0.9340490698814392,0.9848647713661194,0.5050638318061829,0.9434506893157959,0.9332191944122314,0.9756944179534912,0.9953977465629578,0.4340136647224426,0.9868420958518982,0.9677419066429138,7.000000096013537e-06
0.9398772716522217,0.9852342009544373,0.49525225162506104,0.9471264481544495,0.9406392574310303,0.9756944179534912,0.9962043166160583,0.4220712184906006,0.9868420958518982,0.9677419066429138,7.000000096013537e-06
0.9466257691383362,0.987871527671814,0.47512686252593994,0.9544931054115295,0.9457762837409973,0.9774305820465088,0.9963983297348022,0.4131441116333008,0.9868852496147156,0.9709677696228027,7.000000096013537e-06
0.953987717628479,0.9908738732337952,0.4541812539100647,0.9577142596244812,0.956620991230011,0.9791666865348816,0.9966468811035156,0.4050092399120331,0.9901315569877625,0.9709677696228027,7.000000096013537e-06
0.9595091938972473,0.9907755851745605,0.4446951150894165,0.9671280384063721,0.9571917653083801,0.9791666865348816,0.9971379637718201,0.39476364850997925,0.9869281053543091,0.9741935729980469,7.000000096013537e-06
