accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.8453987836837769,0.9230455160140991,11.832710266113281,0.8709869384765625,0.8361872434616089,0.9149305820465088,0.9743936657905579,2.998195171356201,0.9015384912490845,0.9451612830162048,0.0010000000474974513
0.8993865251541138,0.9645352363586426,1.4759689569473267,0.9203069806098938,0.8898401856422424,0.9149305820465088,0.9767948389053345,0.9450290203094482,0.8895522356033325,0.9612902998924255,0.0010000000474974513
0.9030674695968628,0.9634604454040527,0.7794606685638428,0.9174418449401855,0.9006849527359009,0.9427083134651184,0.9836708903312683,0.71116703748703,0.9184290170669556,0.9806451797485352,0.0010000000474974513
0.8996932506561279,0.960233211517334,0.762042224407196,0.9173989295959473,0.8938356041908264,0.9270833134651184,0.984580397605896,0.7047671675682068,0.9161490797996521,0.9516128897666931,0.0010000000474974513
0.9021472334861755,0.9603168368339539,0.7963870167732239,0.92471843957901,0.8904109597206116,0.9427083134651184,0.9856052398681641,0.689993143081665,0.9341692924499512,0.9612902998924255,0.0010000000474974513
0.8987730145454407,0.9637711644172668,0.7898563146591187,0.9153037667274475,0.8944063782691956,0.9340277910232544,0.9850776195526123,0.695265531539917,0.925000011920929,0.9548386931419373,0.0010000000474974513
0.8990797400474548,0.961430549621582,0.8383240699768066,0.9173020720481873,0.8926940560340881,0.9253472089767456,0.9830341935157776,0.7293177247047424,0.9348534345626831,0.92580646276474,0.0010000000474974513
0.8987730145454407,0.9603462219238281,0.8003835082054138,0.9207100868225098,0.888127863407135,0.9270833134651184,0.980196475982666,0.7242336869239807,0.9240506291389465,0.9419354796409607,0.0010000000474974513
0.9085889458656311,0.9704398512840271,0.6521416306495667,0.9266431927680969,0.90125572681427,0.9392361044883728,0.9893282055854797,0.508720338344574,0.9283488988876343,0.9612902998924255,0.0005000000237487257
0.9174846410751343,0.9759418964385986,0.5426406860351562,0.9348973631858826,0.9098173379898071,0.9340277910232544,0.9865509867668152,0.5243597030639648,0.925000011920929,0.9548386931419373,0.0005000000237487257
0.920552134513855,0.9729605913162231,0.5709253549575806,0.9317524433135986,0.9195205569267273,0.9427083134651184,0.9916625618934631,0.5087097883224487,0.9396825432777405,0.9548386931419373,0.0005000000237487257
0.9230061173439026,0.9778255224227905,0.5601606369018555,0.9386323690414429,0.9166666865348816,0.953125,0.9915655851364136,0.5005466938018799,0.9463722109794617,0.9677419066429138,0.0005000000237487257
0.9196318984031677,0.9744408130645752,0.5781971216201782,0.9341492056846619,0.9149543642997742,0.9496527910232544,0.9936211109161377,0.5001039505004883,0.9376947283744812,0.9709677696228027,0.0005000000237487257
0.9138036966323853,0.9736398458480835,0.5966536402702332,0.9273678064346313,0.9109588861465454,0.953125,0.9907894134521484,0.5064631700515747,0.9463722109794617,0.9677419066429138,0.0005000000237487257
0.9196318984031677,0.9752055406570435,0.5734264254570007,0.9356725215911865,0.913241982460022,0.9479166865348816,0.9899163842201233,0.5068714022636414,0.9458598494529724,0.9580644965171814,0.0005000000237487257
